Troqueles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una fila por troquel. Los campos geométricos alimentan etiquetas por repetición, desarrollo y validación de planchas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,Descripción,Clasificación,Forma,Código cliente,Código preprensa,Código proveedor,Ancho mm,Largo mm,Desarrollo cm,DESARROLLO TOTAL,Elongación %,Elongado,Ancho total troquel in,Largo total troquel in,Ancho etiqueta in,Largo etiqueta in,Ancho material in,Área etiqueta in²,Área troquel in²,Estructura,Formato,GAP AROUND,GAP AROUND,Montaje,Proveedor,Tensión,Tipo troquel,Uso convencional,Uso digital,Filas,DIENTES,Repeticiones,Estado,Activo,Observaciones
X0053-BW,,,especial,,,,181,"166,1","50,8",20,,,"14,5",20,"7,1260","6,5394",,"46,60","290,00",,rollo,"0,127","1,267",,KOCHER,,flexo,Sí,No,2,160,3,Bueno,Sí,
R0138-SG,,,rectangulo,,,,77,204,"41,91","16,50",,,"12,63","16,5","3,0315","8,0315",,"24,35","208,40",,rollo,"0,219","2,185",,KOCHER,,flexo,Sí,No,4,132,2,Bueno,Sí,
R0139-SG,,,rectangulo,,,,30,104,"43,18",17,,,"7,84",17,"1,1811","4,0945",,"4,84","133,28",,rollo,"0,156","1,555",,KOCHER,,flexo,Sí,No,6,136,4,Bueno,Sí,
X0052-SG,,,especial,,,,"159,4",185,"37,465","14,75",,,"12,8","14,75","6,2756","7,2835",,"45,71","188,80",,rollo,"0,092",915,,KOCHER,,flexo,Sí,No,2,118,2,Bueno,Sí,
R0141-PPTPET,,,rectangulo,,,,50,"194,7","40,005","15,75",,,"8,37","15,73","1,9685","7,6654",,"15,09","131,66",,rollo,"0,198","1,978",,KOCHER,,flexo,Sí,No,4,126,2,Bueno,Sí,
R0122-PPTPET,,,rectangulo,,,,65,50,"37,465","14,75",,,"08,05","14,75","2,5591","1,9685",,"05,04","118,74",,rollo,"0,139","1,387",,KOCHER,,flexo,Sí,No,3,118,7,Bueno,Sí,
R0134-BW,,,rectangulo,,,,27,"108,6","55,88",22,,,"5,94",22,"1,0630","4,2756",,"4,54","130,68",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,5,176,5,Bueno,Sí,
R0132-SG,,,rectangulo,,,,149,"301,6","30,48",12,,,"5,99",12,"5,8661","11,8740",,"69,65","71,88",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,1,96,1,Bueno,Sí,
R0143-BW,,,rectangulo,,,,"105,9","301,6","30,48",12,,,"8,59",12,"4,1693","11,8740",,"49,51","103,08",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,2,96,1,Bueno,Sí,
R0142-SG,,,rectangulo,,,,"76,2","206,4","41,91","16,50",,,"9,38","16,5","3,2000","8,1260",,"24,38","154,77",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,3,132,2,Bueno,Sí,
R0146-MDO,,,rectangulo,,,,85,43,"50,8",20,,,"6,94",20,"3,3465","1,6929",,"5,67","138,80",,rollo,"0,125","1,253",,KOCHER,,flexo,Sí,No,2,160,11,Bueno,Sí,
R0147-MDO,,,rectangulo,,,,130,160,"50,8",20,,,"10,49",20,"5,1181","6,2992",,"32,24","209,80",,rollo,"0,368","3,675",,KOCHER,,flexo,Sí,No,2,160,3,Bueno,Sí,
X0054-PEBD,,,especial,,,,"255,2",193,"40,005","15,75",,,"10,05","15,75","10,0472","7,5984",,"76,34","158,29",,rollo,"0,277","2,766",,KOCHER,,flexo,Sí,No,1,126,2,Bueno,Sí,
X0055-MDO,,,especial,,,,144,73,"38,1",15,,,"11,59",15,"5,6693","2,8740",,"16,29","173,85",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,2,120,5,Bueno,Sí,
X0056-MDO,,,especial,,,,"114,2",48,"35,56",14,,,"9,25",14,"4,4961","1,8898",,"8,50","129,50",,rollo,"0,110","1,102",,KOCHER,,flexo,Sí,No,2,112,7,Bueno,Sí,
R0148-PPTPET,,,rectangulo,,,,150,170,"35,56",14,,,"12,06",14,"5,9055","6,6929",,"39,53","168,84",,rollo,"0,307","3,071",,KOCHER,,flexo,Sí,No,2,112,2,Bueno,Sí,
R0145-PPTPET,,,rectangulo,,,,87,57,"37,465","14,75",,,"7,1","14,75","3,4252","2,2441",,"7,69","104,73",,rollo,"0,214","2,142",,KOCHER,,flexo,Sí,No,2,118,6,Bueno,Sí,
R0144-PPTPET,,,rectangulo,,,,111,53,"39,37","15,50",,,"8,99","15,5","4,3701","2,0866",,"9,12","139,35",,rollo,"0,128","1,277",,KOCHER,,flexo,Sí,No,2,124,7,Bueno,Sí,
R0149-BM,,,rectangulo,,,,67,80,"41,91","16,50",,,"11,55","16,5","2,6378","3,1496",,"8,31","190,58",,rollo,"0,150","1,504",,KOCHER,,flexo,Sí,No,4,132,5,Bueno,Sí,
R0153-PPTPET,,,rectangulo,,,,47,251,"50,8",20,,,"8,4",20,"1,8504","9,8819",,"18,29","168,00",,rollo,"0,118","1,181",,KOCHER,,flexo,Sí,No,4,160,2,Bueno,Sí,
R0152-PPTPET,,,rectangulo,,,,"101,9",123,"38,1",15,,,"8,52",15,"4,0118","4,8425",,"19,43","127,80",,rollo,"0,158","1,575",,KOCHER,,flexo,Sí,No,2,120,3,Bueno,Sí,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,rollo,,,,,,,,,,0,,,,,
